latitude,longitude
30.620833,104.036778
30.620335,104.037565
30.62051817355188,104.0369179219692
30.620289,104.037518
30.62000114156708,104.0375015930455
30.62000336964034,104.0374550664988
30.620468,104.037692
30.619955,104.036838
30.62096272474646,104.036675902167
30.621049,104.036765
30.61999387875962,104.0375069253378
30.620123,104.037465
30.6206672519732,104.0366465197068
30.62098,104.03713
30.62004787535824,104.0377627280081
30.61935333663746,104.037234750133
30.620896,104.036719
30.62016640897109,104.0368202407132
30.62083144679207,104.0366161555169
30.62342833480448,104.0340118543977
30.61994132902007,104.0376304952203
30.61990985848222,104.0375331764108
30.62049194529115,104.0368473106466
30.62279322291081,104.0354663347487
30.620951,104.03709
29.799863,104.869353
30.634253,104.056021
30.620307,104.037013
30.6197465389933,104.0379452349133
30.62317287150784,104.0343572516566
30.61989355138419,104.0374414064417
30.620924,104.036649
30.620827,104.036719
30.620312,104.037506
30.620876,104.036899
30.620724,104.037021
30.62100414979637,104.0366107033555
30.62342789055639,104.0339514249641
30.62097075398138,104.0364145954177
30.61996872568689,104.0376071063099
30.6207930160415,104.0367610555675
30.624178,104.035747
30.620883,104.036717
30.620288,104.037714
30.620109,104.036933
30.620602,104.037571
30.620857,104.036779
30.62007146311973,104.0347747675113
30.6195413181843,104.0373685283409
30.62342531139113,104.0362965636245
30.61997330032142,104.0377942254051
30.62338302052151,104.0339998488913
0.0,0.0
30.620081,104.037452
30.620833,104.036814
30.620069,104.037482
30.62015203822167,104.0376428064664
30.620825,104.036647
30.62094052442972,104.0369515746056
30.62026096064821,104.0378451451007
30.61969311889754,104.0370807709429
30.620855,104.037271
30.620825,104.036833
30.619847,104.037483
30.6203364345968,104.0378778751103
30.620344,104.036974
30.61952879800648,104.0370457747602
30.620728,104.037685
30.62092203450593,104.0366939717222
30.62007417356426,104.0377325319662
30.62019677089068,104.0380181316995
30.62040100039984,104.0365547729649
30.620336,104.037463
30.620517,104.037653
30.61984866388736,104.0376991344069
30.620783,104.036655
30.615093,104.038528
30.62044195891427,104.0368497179991
30.62078614428682,104.0370036489855
30.620728,104.036652
30.621353,104.036956
30.621261,104.036945
30.621294,104.037234
30.61945088618933,104.0372849665158
30.62037350742948,104.0379193746096
30.620709,104.037458
30.6206819648503,104.0377508892474
30.62070743042259,104.0376346158995
30.6209342183327,104.0366435117626
30.624605,104.04562
30.62056,104.03682
30.622477,104.047008
30.61996,104.03769
30.62088,104.03666
30.523464,104.063255
30.710855,104.125057
30.62343,104.03395
30.624113,104.046435
30.624286,104.045687
30.607482,104.108816
30.62357,104.045819
30.623606,104.04679
30.59799,104.04738
30.61995,104.03729
30.624551,104.045662
30.65949,104.06089
30.61999,104.03731
30.62548,104.16241
30.624446,104.045475
30.624581,104.045664
30.623908,104.046052
30.62343,104.03438
30.623844,104.046274
31.02304,104.01369
30.624367,104.045573
30.62003,104.03771
30.624207,104.045159
30.65849,104.0584
30.624198,104.046826
30.624556,104.046658
30.623921,104.046339
30.624462,104.045715
30.62036,104.03685
30.624361,104.045484
30.623993,104.046118
30.624428,104.04566
30.61989,104.03788
30.624297,104.045838
30.623892,104.046383
30.624607,104.046452
30.624448,104.045482
30.895557,104.021056
30.624433,104.045488
